rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
2299,affirmation,nf,"assertion, affirmation",j’ai été étonnée de cette affirmation –,I was stunned by this statement,81,395
2300,requérir,v,to require,cela requiert sans doute un certain effort –,this will undoubtedly require some effort,70,680
2301,destination,nf,destination,quelle est votre destination rêvée? –,what is your dream destination?,53,1233
2302,stabilité,nf,stability,je veille à la stabilité du continent –,I watch over the stability of the continent,67,757
2303,louer,v,"to rent, praise",elle pourrait louer une cabane au bord de la mer –,she could rent a cabin by the seashore,78,461
2304,gars,nm(pl),guy,t’es un gars sympa –,you’re a cool guy,55,1149
2305,fleur,nf,flower,on t’a apporté tes fleurs préférées –,we’ve brought you your favorite flowers,61,932
2306,agriculteur,nm,farmer,j’ai moi-même été agriculteur –,I was a farmer myself,55,1159
2307,poète,nm,poet,j’ai découvert que j’étais poète –,I found out I was a poet,69,718
2308,fabrication,nf,"manufacture, production","après ces deux échecs, la fabrication fut abandonnée –","after these failures, production was abandoned",77,496
2309,vin,nm,wine,"du vin, s’il vous plaît –","wine, please",69,706
2310,soudain,"adj, adv","sudden, suddenly",j’étais soudain libre –,suddenly I was free,56,1090
2311,balle,nf,"ball, bullet",les balles sifflaient au-dessus d’eux –,bullets were whining above them,62,908
2312,inflation,nf,inflation,l’inflation est en train de devenir un problème –,inflation is becoming a problem,59,1001
2313,sec,"adj, adv, nm",dry,j’ai les yeux secs –,my eyes are dry,68,718
2314,arrêté,nadj,"decree, order",cet arrêté prend effet à compter du 1 mai prochain –,this decree will go into effect on May 1,70,668
2315,enfermer,v,to shut,il alla s’enfermer dans sa cabine sans dire un mot –,without a word he went to shut himself inside his cubicle,,
2316,abattre,v,"to pull down, kill, beat",le jeune homme a été abattu par la police –,the young man was killed by the police,71,656
2317,paysan,nadj,"farmer, peasant",je donnerais tout pour être un simple paysan –,I would give anything to be a simple peasant boy,64,839
2318,transition,nf,transition,la transition a démobilisé les forces sociales –,the transition demobilized the social forces,73,605
2319,humanitaire,adj(f),humanitarian,"l’aide humanitaire est, certes, nécessaire –","humanitarian aide is, of course, necessary",63,863
2320,répandre,v,"to spread, spill",la lumière du couloir se répandait dans la chambre –,light from the hall spilled into the room,75,534
2321,adoption,nf,"adoption, passing",je propose l’adoption de cette motion –,I propose to accept this motion,58,1037
2322,adorer,v,"to adore, worship",elle adorait sa grand-mère maternelle –,she adored her maternal grandmother,62,907
2323,appartement,nm,"appartment, flat",j’aimerais bien acheter un appartement –,I would really like to buy an apartment,73,582
2324,session,nf,session,il y a seulement eu une session de débriefing –,there was only one debriefing session,67,755
2325,entamer,v,to start,nous entamons notre descente –,we are beginning our descent,68,738
2326,ménage,nm,"housekeeping, housework",j’ai un peu de ménage à faire pour l’instant –,I have some housework I need to do now,74,555
2327,purement,adv,purely,ma démarche est purement professionnelle –,my interest is purely professional,79,432
2328,enjeu,nm,stake,c’est un enjeu de taille pour les femmes –,a great deal is at stake for women,67,746
2329,passager,nadj,"passenger, temporary",les 287 passagers ont probablement tous péri –,all the 287 passengers likely perished,71,639
2330,transformation,nf,"transformation, change",la recherche scientifique est constamment en transformation –,scientific research is constantly changing,72,612
2331,calculer,v,to calculate,j’ai conçu un autre ordinateur pour calculer cela –,I designed another computer to calculate that,72,605
2332,misère,nf,"poverty, misery",il y a trop de misère et trop de crimes –,there’s too much poverty and too much crime,74,559
2333,légèrement,adv,"lightly, slightly",elle baissa légèrement la vitre –,she slightly lowered the window,69,690
2334,écraser,v,"to crush, grind",nous écraserons toute armée qu’on enverra contre nous –,we will crush any army sent against us,72,604
2335,enrichir,v,"to expand, enrich, make somebody rich",ces différences enrichissent notre pays –,these differences enrich our country,84,318
2336,restaurant,nm,restaurant,j’avais pensé l’emmener au restaurant –,I thought about taking her out to the restaurant,79,441
2337,destin,nm,"fate, destiny",le destin joue parfois de sales tours –,destiny sometimes plays dirty tricks,69,684
2338,discrimination,nf,discrimination,ils ont toujours été victime de discrimination –,they have always been victims of discrimination,67,746
2339,certitude,nf,certainty,il est impossible de prévoir avec certitude où nous en arriverons –,it’s impossible to foretell with certainty where we’ll end up,77,485
2340,huile,nf,oil,faire chauffer l’huile dans une poêle –,heat up the oil in a pan,84,322
2341,sacré,nadj,sacred,je dois vous charger d’une mission sacrée –,I have to confer a sacred mission upon you,72,616
2342,autonomie,nf,autonomy,nous voulons conserver notre autonomie –,we want to keep our autonomy,73,580
2343,sac,nm,"bag, sack",tu as besoin de 4 sacs à dos de livres? –,you need 4 backpacks of books?,62,882
2344,stock,nm,"stock, to supply",il conserve et protège nos stocks de poisson –,he keeps and protects our stock of fish,72,608
2345,invoquer,v,to call upon,le gouvernement tentera d’invoquer deux excuses –,the government will try to make two excuses,63,866
2346,compromettre,v,to compromise,le premier ministre a compromis le processus de paix –,the prime minister compromised the peace process,81,394
2347,arracher,v,"to pull up, tear up",ils lui ont arraché sa caméra –,they yanked his camera away from him,68,700
2348,sombre,adj(f),dark,la nuit était fort sombre –,the night was very dark,66,757
2349,barre,nf,"bar, rod","prends la barre! comme ça, tu tomberas pas –",hold onto the bar! that way you won’t fall,79,427
2350,contradiction,nf,contradiction,il y a une contradiction entre les deux –,there’s a contradiction between the two,72,603
2351,maîtriser,v,"to control, overcome, master",il fallait aussi démontrer qu’on maîtrisait deux langues étrangères –,we also had to demonstrate mastery of two foreign languages,77,469
2352,violer,v,"to rape, infringe",j’ai pas envie de me faire violer –,I don’t want to get raped,76,495
2353,souveraineté,nf,sovereignty,nous avons abandonné la souveraineté sur notre propre monnaie –,we abandoned the sovereignty of our own money,75,539
2354,épargner,v,"to save, spare",j’espérais épargner cette infortune à mon fils –,I was hoping to spare my son this misfortune,80,403
2355,concentration,nf,concentration,"il perd sa concentration, donc son sens –",he loses his concentration and therefore his reason,74,538
2356,téléphonique,adj(f),telephone,le service téléphonique est un lien de sécurité –,telephone service is a connection for safety,51,1230
2357,remise,nf,"presentation, delivery",c’est la remise en ordre du clan au pouvoir –,it’s the overhauling of the clan in power,69,674
2358,mec,nm,guy,"vous faites quoi les mecs, ce soir? –",what are you guys doing tonight?,51,1246
2359,solidarité,nf,solidarity,y a-t-il une solidarité assez forte entre les groupes? –,is there a fairly strong solidarity between groups?,64,820
2360,restreindre,v,"to restrict, cut down, decrease",il a restreint les travaux du comité à trois jours –,he restricted the committee’s work to three days,77,482
2361,décennie,nf,decade,cet objectif sera atteint en quelques décennies –,this goal will be achieved in a few decades,70,644
2362,aussitôt,adv,"straight away, immediately",on décida aussitôt de dîner ensemble –,we immediately decided to have supper together,62,878
2363,officiellement,adv,officially,je suis officiellement une étudiante en première année –,I am officially a first-year student,67,719
2364,chasser,v,"to hunt, chase away",l’ennemi devait être chassé de chez nous –,the enemy had to be chased from our home,74,551
2365,dîner,"nm, v",dinner; to dine,le dîner sera bientôt prêt –,supper will be ready soon,62,871
2366,personnellement,adv,personally,j’en ai fait personnellement l’expérience –,I have had that experience myself,71,614
2367,fréquenter,v,"to frequent, go around with",je fréquente un homme riche –,I’m dating a rich man,80,415
2368,projeter,v,"to plan, project, throw out",on va projeter un autre film –,we’re going to show another film,83,346
2369,littéraire,nadj(f),literary,la poésie est beaucoup plus qu’un genre littéraire –,poetry is much more than a literary genre,57,1030
2370,présider,v,to preside,il présidait ses repas –,he presided over her meals,70,646
2371,fortune,nf,fortune,elle ne dépendait ni de la fortune ni du succès –,she depended neither on fortune nor on success,73,571
2372,malheureux,nadj(pl),"unhappy, miserable",tu es l’homme le plus malheureux que je connaisse –,you’re the most miserable man I know,70,638
2373,numérique,adj(f),numerical,il faut faire appel à des simulations numériques –,we need to refer to digital simulations,46,1414
2374,combattant,"adj, nm",fighter,vous êtes les combattants les mieux entrainés –,you are the best-trained combattants,65,794
2375,soupçonner,v,to suspect,"comme elle le soupçonnait, il souffrait de douleurs –","since she suspected him, he suffered pain",69,668
2376,merde,"intj, nf","sh*t, crap",je vois ton genou dans une merde de chien –,I see your knee’s in a pile of dog sh*t,46,1403
2377,entrepreneur,nm,"contractor, entrepreneur",l’entrepreneur et le marchand détruisent la forêt –,the entrepreneur and the merchant are destroying the forest,74,536
2378,exposition,nf,"exhibition, show",ça sera ta meilleure exposition –,this will be your best showing yet,67,720
2379,marchand,nadj,merchant,la marine marchande a été la clé de la victoire –,the merchant marine was the key to victory,71,605
2380,cri,nm,"shout, cry",sa déclaration a été saluée par des cris de joie –,his declaration was greeted with shouts of joy,64,813
2381,féminin,nadj,feminine,j’adore créer les personnages féminins –,I love creating female characters,73,577
2382,désert,"adj, nm","desert, wilderness",ils font fleurir le désert et fonctionner la démocratie –,they’re making the desert blossom and democracy flourish,67,710
2383,vêtement,nm,"garment, item or article of clothing","ça, c’est un vêtement de marque –",this is a brand-name piece of clothing,73,555
2384,autrefois,adv,in the past,nous nous sommes aimés autrefois –,we loved each other once,68,700
2385,surmonter,v,"to overcome, top, surmount",nous pouvons surmonter ces obstacles –,we can overcome these obstacles,80,408
2386,marchandise,nf,"merchandise, commodity",la marchandise s’est vendue de façon incroyable –,the merchandise was sold out in an incredible manner,75,520
2387,autochtone,nadj(f),"native, indigenous peoples",nous pouvons répondre aux préoccupations des autochtones –,we can respond to the worries of the indigenous peoples,48,1344
2388,continent,"adj, nm",continent,le continent africain souffre de tous les maux –,the African continent suffers all the evils,71,603
2389,définitivement,adv,"definitely, permanently, for good",je m’étais définitivement métamorphosée en enfant sage –,I was permanently morphed into a well-behaved child,79,421
2390,heureusement,adv,"fortunately, luckily","heureusement, nous venons juste d’arriver –",luckily we have just arrived,73,562
2391,digne,adj(f),"dignified, worthy",ce n’est pas digne d’une dame –,that’s not something worthy of a woman,76,499
2392,guide,"nm, nf",guide,"tout seul, sans guide? –","alone, without a guide?",85,297
2393,tabac,nm,tobacco,les odeurs de tabac vous gênent? –,do tobacco smells bother you?,72,596
2394,rendement,nm,"yield, output",elles ne donnent pas le même rendement de lait –,they don’t produce the same yield of milk,63,816
2395,ampleur,nf,"extent, scope, range",une réflexion de grande ampleur s’impose –,wide-ranging thought is needed,73,550
2396,pleinement,adv,"fully, thoroughly",je suis pleinement d’accord avec elle –,I fully agree with her,74,527
2397,désastre,nm,disaster,le grand désastre était proche –,a big disaster was looming,83,335
2398,joli,adj,"pretty, attractive",les jolies petites secrétaires ne mentent jamais –,pretty little secretaries never tell a lie,57,1023
2399,promouvoir,v,to promote,il est toujours plus facile de promouvoir la haine que de la combattre –,it’s always easier to promote hate than to combat it,71,623
2400,écho,nm,echo,j’entendis l’écho d’un souvenir détesté –,I heard the echo of a repugnant memory,63,825
2401,fusion,nf,"fusion, melting, merging",ceci renforcera notre fusion organique –,this will reinforce our structural incorporation,76,495
2402,innovation,nf,innovation,les entreprises maintiennent leurs efforts d’innovation –,companies maintain their innovation efforts,72,589
2403,sélection,nf,selection,"notons que la sélection, dans ce contexte, signifie un tri –","note that selection, in this context, implies sorting",63,837
2404,confondre,v,"to mix up, confuse","je confonds peut-être, avec d’autres bourses –","I might be mixed up, with other stock markets",69,656
2405,honnête,adj(f),"honest, decent, fair",c’est un homme juste et honnête –,he’s a just and honest man,76,494
2406,tournant,"adj, nm","revolving, swivel, encircling, bend, turning point","c’est en ce moment, le tournant de ta vie –",this moment is the turning point of your life,82,349
2407,automobile,nadj(f),automobile,l’industrie automobile européenne est parfaitement compétitive –,the European automobile industry is perfectly competitive,64,791
2408,collectivité,nf,"community, group",les membres de la collectivité ont uni leurs efforts –,the co-op’s members united their efforts,55,1065
2409,record,nm,record,il avait atteint un nouveau record historique –,he has set a new historic record,63,816
2410,excessif,nadj,"excessive, inordinate",votre réaction est un peu excessive –,your reaction is somewhat excessive,80,383
2411,ridicule,nadj(f),"ridiculous, silly",c’est ridicule. n’y pense même plus –,that’s ridiculous. don’t even think about it any more,72,571
2412,modalité,nf,"mode, method, modality",il semble donc exister deux modalités de la vision –,there seem to be two ways that seeing works,79,414
2413,paquet,nm,packet,c’était un paquet de cigarettes anglaises –,it was a pack of English cigarettes,65,773
2414,fondation,nf,foundation,les fondations seront conçues après étude du sol –,the foundations will be formed after a soil study,72,579
2415,terroriste,"nm, nf",terrorist,le président condamne cet attentat terroriste –,the president condemned that terrorist attack,56,1015
2416,retrait,nadj,withdrawal,ces pays ont demandé un retrait volontaire des jouets –,these countries demanded a voluntary recall of the toys,61,879
2417,organe,nm,organ,"un peu jeune pour du trafic d’organes, non? –","a little young to be trafficking in organs, hey?",74,535
2418,protocole,nm,"etiquette, protocol",ce protocole a permis de découvrir de nouveaux antigènes –,this protocol enabled discovery of new antigens,58,960
2419,apparition,nf,"appearance, apparition",l’araignée a fait une nouvelle apparition –,the spider made a new appearance,71,591
2420,gain,nm,gain,c’est un gain net pour lui –,it’s a clear gain for him,67,706
2421,écran,nm,screen,ils voulaient installer un écran géant sur la place du village –,they wanted to install a huge screen in the village square,73,546
2422,sonner,v,to ring,une cloche sonna dans le lointain –,bells rang in the distance,67,694
2423,protester,v,to protest,"leurs gosses, ils n’osent plus protester –","their kids, they don’t dare protest any more",71,602
2424,curieux,nadj(pl),curious,j’étais trop curieuse –,I was too curious,71,593
2425,effacer,v,"to erase, clean","l’homme décide, la femme s’efface –","the man decides, the woman demurs",73,547
2426,débuter,v,to start,la descente a débuté une demi-heure plus tard –,the descent started a half-hour later,70,627
2427,creuser,v,to dig,ils entreprennent de creuser un tunnel –,they undertook the digging of a tunnel,77,444
2428,allusion,nf,allusion,le texte auquel vous faites allusion date de 1989 –,the text you are alluding to is dated 1989,76,487
2429,lancement,nm,launch,le lancement a été retardé par une météo défavorable –,the launch was postponed because of bad weather,64,774
2430,porteur,nm,"carrier, holder",je suis porteur d’une bonne nouvelle –,I’m the bearer of good news,57,987
2431,préalable,nadj(f),"prior, previous, preliminary, prerequisite",un inconnu avait au préalable averti le journal –,an anonymous source had previously warned the newspaper,78,422
2432,programmer,v,"to program, schedule",ils mêleront sons acoustiques et programmés –,they will mix acoustic and digital sounds,78,422
2433,traîner,v,"to drag, pull",elle me traîna à travers le plancher –,she dragged me across the floor,68,680
2434,domicile,nm,"home, place of residence",j’ai eu une urgence à domicile –,I had an emergency at home,69,643
2435,oiseau,nm,bird,j’ai vu un oiseau faire son nid –,I saw a bird making its nest,70,626
2436,quarante,"det, nmi",forty,"j’ai quarante ans, elle en a vingt-cinq! –","I’m forty years old, she’s twenty-five!",62,843
2437,sacrifice,nm,sacrifice,la ville a prévu un sacrifice humain –,the city was planning a human sacrifice,75,503
2438,barrière,nf,"fence, barrier, gate",il est difficile de franchir la barrière linguistique et de dialoguer –,it’s difficult to break the language barrier and to dialogue,81,352
2439,biais,nm(pl),"way, device; bias",nous devons attaquer ce problème par le biais de la législation –,we must attack this problem by way of legislation,74,516
2440,feuille,nf,"leaf, sheet, slip",l’arbre porte quelques feuilles –,the tree has some leaves,65,750
2441,délégation,nf,delegation,notre délégation a été accueillie à l’aéroport –,our delegation was welcomed at the airport,62,831
2442,épuiser,v,"to exhaust, tire out, wear out, use up",ils ont épuisé leurs ressources et veulent puiser dans les nôtres –,they exhausted their resources and wanted to dip into ours,79,393
2443,champion,nadj,champion,il deviendra un champion en un rien de temps –,he will become a champion in no time,56,987
2444,librement,adv,freely,seuls les piétons peuvent passer librement –,only pedestrians can pass through freely,83,313
2445,congé,nm,"holiday, time off, day off, notice","il vous faudra prendre un congé d’un mois, au moins –","you will have to take one month’s vacation, at least",81,360
2446,taxe,nf,tax,vous payez pas de taxes. vous payez pas d’impôts –,you don’t pay taxes. you don’t pay duties.,59,900
2447,onze,"det, nmi",eleven,il était onze heures du soir –,it was eleven o’clock at night,70,613
2448,téléphoner,v,"to telephone, phone, call",j’ai essayé de vous téléphoner chez vous –,I tried to telephone you at your place,76,476
2449,serrer,v,"to tighten, squeeze",elle serre les mains –,she clenches her fists,60,870
2450,caractériser,v,to characterize,une époque ne se caractérise pas seulement par ses idées –,an era is not only characterized by its ideas,72,572
2451,préparation,nf,preparation,un document à ce sujet est en préparation –,a document on this subject is in preparation,70,604
2452,inverse,nadj(f),"opposite, reverse",c’est l’inverse de ce que tu m’as raconté –,it’s the exact opposite of what you told me,74,522
2453,intituler,v,"to entitle, call",la séquence s’intitulera «Cinq minutes pour survivre» –,the sequence was entitled “Five minutes of survival”,73,535
2454,possession,nf,"possession, ownership",il était en possession de matériel d’intérêt –,he had targeted materials in his possession,78,425
2455,rejet,nm,rejection,le Soudan réaffirme son rejet absolu des menaces –,the Sudan reiterates its categorial rejection of threats,67,686
2456,enseignant,nadj,teacher,le métier d’enseignant n’est pas un métier comme les autres –,the teacher’s job is like none other,68,659
2457,avérer,v,"to prove to be, turn out","cette explication s’avéra la bonne, par la suite –",this explanation turned out the be the right one,78,424
2458,papa,nm,"dad, daddy",je t’aime aussi papa –,I love you too daddy,53,1070
2459,collaborateur,nm,"associate, fellow worker, contributor, collaborator",je remercie donc tous les collaborateurs –,so I thank all of the collaborators,76,465
2460,gêner,v,"to bother, trouble","tu vois, tu gênes tout le monde –","you see, you bother everybody",72,566
2461,technicien,nm,technician,"il faut des experts, des techniciens –","we need experts, technicians",81,363
2462,cycle,nm,cycle,le cycle de la violence peut être enrayé –,the cycle of violence can be broken,73,537
2463,accumuler,v,"to accumulate, amass, store, stockpile",les bombes atomiques s’accumulent –,atomic bombs are being stockpiled,77,438
2464,sauvage,nadj(f),"savage, wild",c’étaient des oiseaux sauvages –,they were wild birds,74,499
2465,alcool,nm,alcohol,limitez votre consommation d’alcool et de sucre –,limit your intake of alcohol and sugar,81,346
2466,prétexte,"nadj(f), nm",pretext,je pris prétexte de mon travail pour suspendre ces séances –,I used my job as an excuse to stop these meetings,74,499
2467,impressionnant,adj,"impressive, upsetting",la science évolue à une vitesse impressionnante –,science is evolving at an impressive speed,84,294
2468,scénario,nm,"scenario, script","j’ai reçu le scénario, je l’ai lu et j’ai adoré –","I received the screenplay, I read it, and I loved it",70,603
2469,électricité,nf,electricity,tu t’y connais en électricité? non –,do you know anything about electricity? no,69,621
2470,gratuit,adj,"free, gratuitous, unwarranted","hé, un spectacle gratuit! –","hey, a free show!",79,395
2471,révolutionnaire,nadj(f),revolutionary,je veux mourir en révolutionnaire –,I want to die as a revolutionary,71,587
2472,jambe,nf,leg,"elle s’assit, croisa les jambes, alluma une cigarette –","she sat, crossed her legs, lit a cigarette",59,900
2473,insuffisant,adj,"insufficient, inadequate",ce que nous avons accompli reste insuffisant –,what we accomplished is still inadequate,76,451
2474,privilège,nm,privilege,nous avons des droits et des privilèges –,we have rights and privileges,57,953
2475,week-end,nm,weekend,"que fais-tu, ce week-end? –",what are you doing this weekend?,63,789
2476,équivalent,nadj,equivalent,cela n’a pas d’équivalent avec les autres pays –,this has no equivalent in the other countries,61,824
2477,regrouper,v,"to group together, regroup",le ministre des Finances a regroupé tout ça dans un seul programme –,the finance minister regrouped all of that in a single program,71,586
2478,invité,nm,guest,les invités les plus attendus ne sont pas venus –,the most-anticipated guests didn’t show up,68,639
2479,militant,nadj,militant,nous ne sommes militants d’aucune organisation politique –,we are not the militants of any political organization,60,873
2480,participant,nadj,participant,il y avait une cinquantaine de participants –,there were some fifty participants,70,587
2481,blessure,nf,"injury, wound",ces problèmes sociaux sont des blessures qui ne sont pas encore guéries –,these social problems are wounds that remain unhealed,74,510
2482,privilégier,v,to favour,il refuse de privilégier les insurgés cubains! –,he refuses to legitimize the Cuban insurgents,70,606
2483,midi,nm,noon,mon père rentre pour le repas de midi –,my father’s going home for lunch,68,636
2484,disque,nm,disc,nous écoutions des disques en buvant du whisky –,we listened to records while drinking whisky,68,635
2485,couche,nf,"layer, coat",la couche d’ozone n’était pas menacée –,the ozone layer wasn’t threatened,58,918
2486,dater,v,to date,le dernier film concerné date de 1990 –,the last relevant film was made in 1990,77,437
2487,habituer,v,"to accustom, get used to","on s’habitue à tout, quand on est obligé –",you can get used to anything when you have to,76,453
2488,inévitable,adj(f),"unavoidable, inevitable",le terrorisme n’est jamais inévitable –,terrorism is never inevitable,82,335
2489,recommencer,v,"to resume, start again","recommence depuis le début, s’il te plaît –","start again from the beginning, please",67,672
2490,race,nf,"breed, race",elle n’est pas de ta race –,she’s not of your race,79,381
2491,vivement,adv,"sharply, brusquely, lively",le groupe socialiste soutient vivement tous les amendements –,the socialist group strongly supports all the amendments,72,543
2492,beauté,nf,beauty,je veux leur montrer la beauté de ma langue –,I want to show them the beauty of my language,61,816
2493,atmosphère,nf,atmosphere,j’aime bien l’atmosphère des pubs –,I really like the atmosphere in pubs,77,436
2494,épaule,nf,shoulder,je déteste regarder par-dessus mon épaule –,I hate looking back over my shoulder,54,1036
2495,amoureux,nadj(pl),"in love, amorous","moi, j’ai toujours été amoureux de toi –",I have always been in love with you,63,766
2496,circonscription,nf,"district, constituency",je viens d’une circonscription qui repose sur l’industrie de la forêt –,I come from an electoral district that relies on the forest industry,48,1221
2497,debout,adv,standing,"je ne peux pas rester debout, sans rien faire –","I can’t remain standing, doing nothing",60,843
2498,influencer,v,to influence,je n’influence pas la politique –,I don’t influence politics,75,482
2499,recul,nm,"backward movement, setback, slip","sur un an, le recul du chômage atteint 5 % –","in one year, the slip in unemployment reaches 5%",64,734
2500,mortel,nadj,"mortal, deadly, lethal",nous ne sommes que mortels. nous sommes tous humains –,we’re only mortals. we’re all humans.,77,437
2501,flux,nm(pl),flow,les flux mondiaux de migration se sont énormément développés –,worldwide migration flows have developed enormously,64,742
2502,horizon,nm,"horizon, skyline",mes yeux parcoururent cet horizon désert –,my eyes surveyed this desert horizon,71,556
2503,délivrer,v,"to set free, rid, relieve",il était temps de se délivrer de ce poids –,it was time to get rid of that burden,78,398
2504,subvention,nf,subsidy,nous accordons des subventions à l’industrie –,we provide subsidies to industry,60,833
2505,formel,adj,"formal, definite","la morale, quand elle est formelle, dévore –","morality, when it is formal, devours",78,397
2506,aggraver,v,"to worsen, aggravate",tous ces facteurs aggravent la situation –,all of these factors aggravate the situation,78,415
2507,lait,nm,milk,va prendre un verre de lait et fais tes devoirs –,go get a glass of milk and do your homework,76,447
2508,alimenter,v,"to feed, supply",j’alimentais ma peur en mangeant –,I fed my fears by eating,78,409
2509,intelligent,adj,"intelligent, clever, bright",c’est un gars très intelligent –,he’s a very intelligent guy,73,504
2510,équilibrer,v,to balance,"pour être équilibrées, elles doivent être négociées –","to be balanced, they have to be negotiated",70,586
2511,bibliothèque,nf,library,il y avait une grande bibliothèque –,there was a large library there,70,578
2512,absurde,nadj(f),absurd,cela semble tout à fait absurde –,this seems completely absurd,76,454
2513,océan,nm,ocean,il repose au fond de l’océan –,it’s sitting on the bottom of the ocean,76,438
2514,quelques-uns,pro,"some, a few",j’ai retrouvé quelques-uns de ces poèmes –,I recovered some of these poems,76,448
2515,dicter,v,"to dictate, lay down","écris ce que je te dicte, mot pour mot –","write down what I dictate to you, word for word",84,274
2516,tenant,nadj,"tenant; incumbent, holder","à ma gauche, le tenant du titre –","on my left, the record-holder",81,330
2517,stable,adj(f),stable,l’univers est stable et l’homme y aura toujours sa place –,the universe is stable and mankind will always have its place,72,534
2518,capitaine,nm,captain,il est mort. le capitaine est mort –,he died. the captain is dead,63,758
2519,solliciter,v,"to request, solicit, appeal",elle sollicite un visa pour aller à La Mecque –,she applied for a visa to go to Mecca,80,358
2520,convoquer,v,"to call, summon",vous serez convoquée au commissariat –,you will be summoned to the police office,76,452
2521,prévention,nf,"prevention, custody",nous faisons de la prévention auprès des jeunes enfants –,we’re being preventive with our young children,70,568
2522,terrestre,adj(f),"land, earth",les frontières terrestres et les aéroports sont fermés –,the border crossings and airports are closed,78,407
2523,utilisateur,nadj,user,éditez le dictionnaire utilisateur pour le réduire à 10.000 mots maximum –,"edit the user dictionary to reduce it to at most 10,000 words",47,1216
2524,obligatoire,adj(f),"mandatory, compulsory",la quarantaine est obligatoire –,the forty-hour work week is mandatory,68,625
2525,terminal,nadj,terminal,il demande une nouvelle retransmission au terminal sémaphore distant –,it requires a new retransmission to the remote signal terminal,44,1321
2526,choquer,v,"to shock, offend, shake, disturb","personnellement, ces mesures ne me choquent pas –","personally, these measures don’t shock me",79,375
2527,primaire,nadj(f),primary,un hôpital et une école primaire ont été détruits –,a hospital and an elementary school were destroyed,70,569
2528,vital,adj,vital,surveille les signes vitaux –,keep an eye on the vital signs,80,355
2529,destinée,nf,"fate, destiny","notre destination, c’est aussi notre destinée –",our destination is also our destiny,83,296
2530,patrimoine,nm,"heritage, assets",vous voulez protéger une partie de votre patrimoine –,you want to protect a part of your heritage,67,643
2531,conforme,adj(f),conform,la construction était conforme aux plans produits –,the construction followed the specifications,62,759
2532,adjoint,nadj,"assistant, deputy","choisissez un adjoint. deux, si besoin est –",choose an assistant. two if there’s a need,63,748
2533,ultime,adj(f),ultimate,cette station est à présent l’ultime puissance de l’univers –,this station is currently the ultimate power of the universe,80,358
2534,intégration,nf,integration,les immigrants ont payé leur intégration au prix fort –,the immigrants payed dearly for their integration,68,619
2535,rarement,adv,"rarely, seldom",ma mère me punissait rarement –,my mother rarely punished me,76,431
2536,couler,v,"to flow, run, sink",elle regardait silencieusement couler ces larmes –,she watched tears flow silently,68,630
2537,diversité,nf,diversity,"la richesse de la France, c’est sa diversité culturelle –",France’s richness is its cultural diversity,65,702
2538,amuser,v,to amuse,il faut s’amuser un peu dans la vie –,you have to have a little fun in life,61,806
2539,complémentaire,adj(f),"complementary, supplementary",j’ai des informations additionnelles et complémentaires à fournir –,I have additional and complementary information to present,70,572
2540,satisfaisant,adj,"satisfactory, satisfying",je ne trouvais pas d’emploi satisfaisant en région –,I wasn’t finding any satisfying work in the area,70,573
2541,accueil,nm,"welcome, reception",l’émission a reçu un très bon accueil –,the broadcast was very well received,77,422
2542,camion,nm,truck,ils ont trouvé le camion stationné à l’extérieur –,they found the truck parked outside,71,544
2543,douloureux,adj(pl),"painful, grievous, distressing",les témoignages étaient douloureux à entendre –,the testimony was sometimes painful to listen to,79,365
2544,glisser,v,"to slide, slip",il glisse sa main dans sa poche –,he slips his hand into his pocket,60,814
2545,prêtre,nm,priest,le prêtre lève alors les bras au ciel –,then the priest raises his arms to the heavens,69,590
2546,indication,nf,indication,suis mes indications à la lettre –,follow my instructions precisely,50,1109
2547,exagérer,v,"to exaggerate, overdo",peut-être a-t-on tout simplement exagéré –,maybe we just exaggerated,82,310
2548,décès,nm(pl),death,le suicide est une forme de décès –,suicide is a form of death,67,625
2549,parisien,nadj,Parisian,"son état était psychologique, pas physique –","his condition was psychological, not physical",80,349
2550,psychologique,adj(f),psychological,"son état était psychologique, pas physique –","his condition was psychological, not physical",80,349
2551,réviser,v,"to review, revise, overhaul",j’ai révisé votre plan de vol –,I revised your flight plan,81,329
2552,profil,nm,"profile, outline, contour",il n’a pas le profil du Père Noël –,he doesn’t have the profile of Santa Claus,81,327
2553,rater,v,"to miss, misfire",vous avez raté tout l’opéra –,you missed the whole opera,73,492
2554,respectif,adj,respective,nous ne parlerons plus de nos amours respectives –,we will no longer speak of our respective loves,82,304
2555,tranquille,adj(f),quiet,"laisse-le tranquille, reste tranquille –","leave it alone, settle down",61,779
2556,registre,nm,"log, register, registry",nous avons réclamé un registre des délinquants sexuels –,we have called for a sexual offenders registry,78,380
2557,contemporain,nadj,contemporary,ce n’était pas un langage contemporain –,it wasn’t a modern language,62,748
2558,exclusif,nadj,"exclusive, sole",je suis son amour exclusif –,I’m his only love,84,270
2559,performance,nf,performance,la performance d’hier est simplement fa-buleu-se –,yesterday’s performance was simply fa-bu-lous!,68,601
2560,angle,nm,"angle, point of view",on a fait l’analyse sous deux angles –,the analysis was made from two angles,76,424
2561,divorce,nm,divorce,70 % des divorces sont motivés par la toxicomanie du conjoint –,70% of divorces are caused by drug addiction,82,302
2562,fermeture,nf,closing,c’est l’heure de fermeture. la piscine est fermée –,it’s closing time. the pool’s closed,74,472
